154.76,,3.83,1,,
0,,3.79,0,,
0,,3.83,0,,
1.76,,4.1,0,,
1.76,,4.47,0,,
33.43,,4.76,0,,
123.85,,3.47,1,,
107.32,,5.02,0,,
37.53,,4.97,0,,
2.93,,4.82,0,,
39.95,,4.6,0,,
115.53,,4.33,0,,
157.45,,3.79,1,,
33.43,,4.04,0,,
33.43,,4.94,0,,
79.76,,4.8,0,,
104.97,,3.76,0,,
13.49,,2.91,0,,
146.53,,3.86,1,,
70.96,,4.08,0,,
77.41,,4.23,0,,
93.83,,4.35,0,,
25.21,,4.43,0,,
45.74,,4.46,0,,
126.45,,3.86,1,,
9.97,,4.4,0,,
8.79,,4.3,0,,
0.58,,4.17,0,,
11.73,,4.01,0,,
0.59,,3.85,0,,
134.89,,3.71,1,,
7.04,,3.7,0,,
7.04,,4.01,0,,
15.83,,4.33,0,,
12.9,,4.61,0,,
11.14,,4.8,0,,
140.23,,3.49,1,,
1.76,,4.88,0,,
12.31,,4.76,0,,
15.25,,4.55,0,,
59.23,,4.29,0,,
63.92,,4,0,,
149.45,,3.71,1,,
11.73,,3.44,0,,
15.25,,3.24,0,,
9.38,,3.29,0,,
5.28,,3.49,0,,
7.62,,3.72,0,,
157.45,,3.94,1,,
0,,4.13,0,,
68.61,,4.3,0,,
17.59,,4.42,0,,
110.84,,4.49,0,,
114.94,,4.51,0,,
137.45,,3.48,1,,
15.83,,4.36,0,,
110.84,,4.19,0,,
26.39,,3.97,0,,
12.31,,3.74,0,,
14.66,,3.57,0,,
148.15,,3.66,1,,
17.59,,3.9,0,,
142.5,,4.19,0,,
12.9,,4.45,0,,
2.35,,4.63,0,,
1.76,,4.72,0,,
131.12,,3.58,1,,
11.14,,4.6,0,,
3.52,,4.41,0,,
2.93,,4.16,0,,
1.76,,3.88,0,,
0,,3.6,0,,
148.45,,3.76,1,,
2.34,,3.19,0,,
1.76,,3.17,0,,
0,,3.33,0,,
8.79,,3.56,0,,
0,,3.81,0,,
142.45,,3.94,1,,
1.17,,4.23,0,,
5.28,,4.39,0,,
2.35,,4.48,0,,
8.79,,4.5,0,,
11.14,,4.45,0,,
138.45,,3.74,1,,
5.28,,4.21,0,,
1.76,,4.03,0,,
56.88,,3.81,0,,
52.19,,3.64,0,,
41.05,,3.64,0,,
136.25,,3.83,1,,
1.17,,4.07,0,,
1.76,,4.28,0,,
0.58,,4.42,0,,
4.11,,4.49,0,,
22.28,,4.46,0,,
129.45,,3.67,1,,
0.59,,4.3,0,,
0,,4.18,0,,
0,,4,0,,
0,,3.78,0,,
5.86,,3.55,0,,
143.46,,3.34,1,,
0,,3.22,0,,
27.56,,3.27,0,,
0.59,,4.41,0,,
7.62,,4.31,0,,
0,,4.17,0,,
134.46,,3.49,1,,
5.86,,3.87,0,,
1.76,,3.74,0,,
80.93,,3.65,0,,
48.85,,3.62,0,,
56.89,,3.66,0,,
125.45,,3.76,1,,
35.17,,4.09,0,,
22.28,,4.45,0,,
143.09,,4.74,0,,
104.39,,4.93,0,,
0,,5,0,,
124.16,,3.58,1,,
0,,4.82,0,,
0,,4.6,0,,
0,,4.34,0,,
0,,4.08,0,,
0,,3.86,0,,
146.45,,3.71,1,,
0,,3.64,0,,
0,,3.8,0,,
0,,4,0,,
8.17,,4.16,0,,
0,,4.29,0,,
152.45,,3.75,1,,
11.44,,4.41,0,,
0.54,,4.4,0,,
0.54,,4.36,0,,
0,,4.28,0,,
12.53,,4.18,0,,
139.56,,3.45,1,,
26.69,,3.92,0,,
20.7,,3.78,0,,
1.09,,3.67,0,,
70.81,,3.61,0,,
25.05,,3.67,0,,
149,,3.45,1,,
0,,4.38,0,,
19.06,,4.68,0,,
1.09,,4.9,0,,
0,,5,0,,
0,,4.99,0,,
135.23,,3.62,1,,
2.18,,4.65,0,,
6.54,,4.37,0,,
1.09,,4.06,0,,
6,,3.76,0,,
23.42,,3.51,0,,
124.23,,3.43,1,,
2.18,,3.61,0,,
37.04,,3.8,0,,
52.29,,3.98,0,,
39.22,,4.13,0,,
51.2,,4.25,0,,
137.15,,3.96,1,,
92.05,,4.39,0,,
16.34,,4.38,0,,
93.13,,4.34,0,,
49.02,,4.25,0,,
17.97,,4.14,0,,
126.78,,3.99,1,,
4.36,,3.82,0,,
6.54,,3.64,0,,
1.09,,3.5,0,,
6,,3.63,0,,
0,,3.94,0,,
112.45,,3.46,1,,
10.34,,4.59,0,,
1.09,,4.81,0,,
3.27,,4.93,0,,
0.54,,4.92,0,,
0,,4.79,0,,
127.45,,3.45,1,,
26.14,,4.27,0,,
68.08,,3.93,0,,
72.44,,3.59,0,,
57.19,,3.33,0,,
163.4,,3.29,0,,
139.45,,3.42,1,,
80.06,,3.61,0,,
21.78,,3.82,0,,
40.85,,4,0,,
86.6,,4.15,0,,
28.32,,4.27,0,,
117.56,,3.9,1,,
0,,4.36,0,,
5.45,,4.33,0,,
9.26,,4.25,0,,
4.36,,4.12,0,,
4.9,,3.95,0,,
141.21,,3.75,1,,
3.81,,3.61,0,,
2.17,,3.53,0,,
2.72,,3.62,0,,
13.07,,3.88,0,,
3.27,,4.19,0,,
150.45,,3.85,1,,
6,,4.67,0,,
